iter	Passed	Remaining
258	718	2055
259	720	2050
260	723	2047
261	725	2042
262	726	2036
263	728	2031
264	730	2026
265	735	2030
266	738	2026
267	740	2021
268	742	2017
269	745	2016
270	748	2012
271	750	2007
272	752	2002
273	755	2002
274	759	2001
275	761	1997
276	763	1992
277	766	1989
278	768	1987
279	771	1983
280	773	1978
281	775	1973
282	779	1974
283	781	1971
284	784	1966
285	786	1962
286	789	1960
287	792	1958
288	794	1955
289	797	1951
290	799	1947
291	802	1945
292	805	1942
293	807	1937
294	809	1933
295	812	1932
296	815	1930
297	817	1926
298	819	1922
299	821	1917
300	825	1916
301	828	1915
302	830	1911
303	832	1906
304	834	1902
305	838	1901
306	840	1896
307	842	1892
308	844	1887
309	846	1883
310	848	1880
311	850	1875
312	852	1871
313	854	1866
314	856	1861
315	858	1857
316	860	1855
317	862	1850
318	864	1845
319	866	1841
320	868	1836
321	871	1834
322	873	1830
323	875	1827
324	877	1822
325	880	1820
326	882	1816
327	884	1813
328	886	1808
329	888	1804
330	890	1800
331	893	1796
332	894	1792
333	896	1788
334	898	1783
335	900	1779
336	903	1778
337	906	1774
338	908	1770
339	909	1766
340	911	1761
341	913	1757
342	915	1754
343	917	1749
344	919	1745
345	920	1740
346	922	1736
347	924	1732
348	926	1728
349	928	1724
350	930	1719
351	931	1715
352	933	1711
353	935	1707
354	937	1703
355	939	1699
356	941	1694
357	942	1690
358	944	1686
359	946	1682
360	948	1678
361	950	1674
362	952	1671
363	953	1666
364	956	1664
365	958	1659
366	960	1656
367	962	1652
368	964	1648
369	965	1644
370	967	1640
371	969	1636
372	971	1633
373	973	1629
374	974	1624
375	976	1620
376	978	1616
377	980	1612
378	982	1609
379	983	1605
380	985	1601
381	987	1597
382	989	1593
383	990	1589
384	992	1585
385	994	1582
386	996	1578
387	998	1575
388	1000	1571
389	1002	1567
390	1003	1563
391	1006	1560
392	1007	1556
393	1010	1554
394	1012	1551
395	1014	1547
396	1017	1545
397	1024	1548
398	1027	1547
399	1030	1545
400	1033	1543
401	1043	1552
402	1049	1554
403	1051	1551
404	1053	1547
405	1054	1543
406	1056	1539
407	1058	1535
408	1060	1531
409	1062	1529
410	1065	1526
411	1067	1524
412	1070	1520
413	1071	1517
414	1073	1513
415	1075	1509
416	1077	1506
417	1078	1502
418	1080	1498
419	1082	1494
420	1084	1491
421	1087	1489
422	1089	1485
423	1090	1482
424	1092	1478
425	1093	1473
426	1095	1470
427	1097	1467
428	1099	1463
429	1101	1459
430	1102	1455
431	1104	1452
432	1106	1449
433	1109	1447
434	1111	1443
435	1113	1439
436	1115	1437
437	1117	1433
438	1120	1431
439	1123	1429
440	1125	1426
441	1127	1422
442	1128	1419
443	1130	1415
444	1132	1412
445	1135	1409
446	1136	1406
447	1138	1402
448	1140	1399
449	1141	1395
450	1143	1392
451	1145	1389
452	1147	1385
453	1149	1382
454	1151	1379
455	1154	1377
456	1157	1374
457	1159	1371
458	1160	1368
459	1162	1365
460	1165	1362
461	1167	1359
462	1169	1356
463	1171	1353
464	1174	1350
465	1176	1347
466	1178	1345
467	1180	1342
468	1182	1339
469	1185	1336
470	1186	1333
471	1189	1331
472	1191	1328
473	1194	1325
474	1196	1322
475	1198	1319
476	1200	1316
477	1203	1314
478	1205	1311
479	1207	1308
480	1209	1305
481	1212	1303
482	1214	1300
483	1216	1297
484	1218	1294
485	1220	1291
486	1223	1289
487	1225	1286
488	1227	1283
489	1229	1280
490	1231	1277
491	1234	1274
492	1236	1271
493	1238	1268
494	1240	1265
495	1243	1263
496	1246	1261
497	1248	1258
498	1250	1255
499	1252	1252
500	1254	1249
501	1258	1247
502	1260	1245
503	1263	1243
504	1264	1239
505	1267	1237
506	1269	1234
507	1270	1230
508	1272	1227
509	1274	1224
510	1276	1221
511	1278	1218
512	1280	1215
513	1282	1212
514	1283	1209
515	1285	1205
516	1287	1203
517	1290	1200
518	1292	1197
519	1293	1194
520	1295	1190
521	1297	1187
522	1298	1184
523	1300	1181
524	1302	1178
525	1304	1175
526	1305	1172
527	1307	1168
528	1309	1166
529	1311	1163
530	1314	1160
531	1316	1158
532	1318	1155
533	1321	1153
534	1323	1150
535	1326	1148
536	1327	1144
537	1329	1141
538	1331	1138
539	1333	1135
540	1334	1132
541	1336	1129
542	1338	1126
543	1340	1123
544	1341	1120
545	1343	1117
546	1345	1114
547	1347	1111
548	1349	1108
549	1351	1105
550	1353	1102
551	1354	1099
552	1356	1096
553	1358	1093
554	1360	1090
555	1362	1087
556	1364	1084
557	1365	1081
558	1367	1078
559	1369	1075
560	1371	1073
561	1373	1070
562	1374	1067
563	1376	1064
564	1378	1061
565	1379	1058
566	1382	1055
567	1383	1052
568	1385	1049
569	1387	1046
570	1389	1043
571	1390	1040
572	1393	1038
573	1395	1035
574	1397	1032
575	1399	1030
576	1401	1027
577	1403	1024
578	1405	1022
579	1408	1019
580	1409	1016
581	1411	1013
582	1413	1010
583	1415	1008
584	1418	1005
585	1420	1003
586	1421	1000
587	1423	997
588	1425	994
589	1427	992
590	1429	989
591	1431	986
592	1433	983
593	1435	980
594	1436	978
595	1439	975
596	1441	973
597	1443	970
598	1445	967
599	1447	964
600	1448	961
601	1450	959
602	1452	956
603	1454	953
604	1456	950
605	1457	947
606	1459	944
607	1461	942
608	1463	939
609	1465	937
610	1467	934
611	1469	931
612	1471	928
613	1473	926
614	1475	923
615	1477	920
616	1478	917
617	1480	915
618	1482	912
619	1485	910
620	1489	908
621	1491	906
622	1493	903
623	1496	901
624	1498	899
625	1500	896
626	1502	894
627	1505	891
628	1508	889
629	1510	887
630	1512	884
631	1514	882
632	1516	879
633	1519	877
634	1521	874
635	1523	872
636	1525	869
637	1527	866
638	1530	864
639	1532	862
640	1534	859
641	1538	858
642	1541	855
643	1544	854
644	1547	851
645	1549	849
646	1551	846
647	1554	844
648	1557	842
649	1560	840
650	1561	837
651	1563	834
652	1566	832
653	1568	829
654	1569	826
655	1571	824
656	1573	821
657	1575	818
658	1577	816
659	1579	813
660	1580	810
661	1582	808
662	1584	805
663	1585	802
664	1588	800
665	1589	797
666	1591	794
667	1593	791
668	1595	789
669	1596	786
670	1598	783
671	1600	781
672	1602	778
673	1604	776
674	1606	773
675	1607	770
676	1609	768
677	1611	765
678	1613	762
679	1615	760
680	1617	757
681	1618	754
682	1620	752
683	1622	749
684	1624	746
685	1625	744
686	1627	741
687	1629	738
688	1630	736
689	1632	733
690	1635	731
691	1637	728
692	1638	725
693	1640	723
694	1641	720
695	1643	717
696	1645	715
697	1647	712
698	1649	710
699	1651	707
700	1653	705
701	1655	702
702	1657	700
703	1658	697
704	1660	694
705	1662	692
706	1664	689
707	1665	686
708	1668	684
709	1670	682
710	1671	679
711	1673	676
712	1675	674
713	1676	671
714	1682	670
715	1685	668
716	1688	666
717	1690	664
718	1692	661
719	1694	659
720	1696	656
721	1698	653
722	1700	651
723	1701	648
724	1703	646
725	1705	643
726	1707	641
727	1709	638
728	1710	635
729	1712	633
730	1714	630
731	1716	628
732	1718	626
733	1720	623
734	1722	620
735	1723	618
736	1725	615
737	1727	613
738	1729	610
739	1731	608
740	1732	605
741	1734	603
742	1736	600
743	1738	598
744	1740	595
745	1741	593
746	1743	590
747	1745	588
748	1747	585
749	1748	582
750	1750	580
751	1752	577
752	1754	575
753	1756	572
754	1757	570
755	1759	567
756	1761	565
757	1763	562
758	1765	560
759	1766	557
760	1768	555
761	1770	552
762	1772	550
763	1774	548
764	1775	545
765	1777	543
766	1779	540
767	1780	537
768	1782	535
769	1785	533
770	1786	530
771	1788	528
772	1789	525
773	1791	523
774	1793	520
775	1794	518
776	1797	515
777	1798	513
778	1800	510
779	1802	508
780	1804	505
781	1805	503
782	1809	501
783	1810	498
784	1812	496
785	1814	493
786	1815	491
787	1817	489
788	1820	486
789	1822	484
790	1824	482
791	1826	479
792	1828	477
793	1831	475
794	1833	472
795	1835	470
796	1837	468
797	1841	466
798	1843	463
799	1845	461
800	1847	459
801	1849	456
802	1852	454
803	1855	452
804	1857	449
805	1859	447
806	1861	445
807	1864	443
808	1867	440
809	1869	438
810	1871	436
811	1873	433
812	1876	431
813	1878	429
814	1880	426
815	1883	424
816	1885	422
817	1888	420
818	1890	417
819	1892	415
820	1894	412
821	1896	410
822	1898	408
823	1900	405
824	1902	403
825	1904	401
826	1906	398
827	1907	396
828	1909	393
829	1911	391
830	1913	389
831	1914	386
832	1916	384
833	1918	381
834	1920	379
835	1922	377
836	1923	374
837	1925	372
838	1927	369
839	1929	367
840	1930	365
841	1932	362
842	1934	360
843	1936	358
844	1938	355
845	1940	353
846	1942	350
847	1944	348
848	1945	346
849	1947	343
850	1949	341
851	1951	338
852	1953	336
853	1955	334
854	1957	331
855	1958	329
856	1961	327
857	1964	325
858	1966	322
859	1968	320
860	1970	318
861	1972	315
862	1974	313
863	1976	311
864	1977	308
865	1979	306
866	1981	303
867	1983	301
868	1984	299
869	1986	296
870	1988	294
871	1991	292
872	1993	289
873	1994	287
874	1996	285
875	1998	282
876	1999	280
877	2001	278
878	2003	275
879	2005	273
880	2006	271
881	2008	268
882	2010	266
883	2012	264
884	2014	261
885	2017	259
886	2018	257
887	2020	254
888	2022	252
889	2024	250
890	2026	247
891	2027	245
892	2029	243
893	2031	240
894	2032	238
895	2034	236
896	2036	233
897	2038	231
898	2040	229
899	2041	226
900	2043	224
901	2045	222
902	2047	219
903	2049	217
904	2050	215
905	2052	212
906	2054	210
907	2056	208
908	2058	206
909	2060	203
910	2061	201
911	2063	199
912	2065	196
913	2067	194
914	2069	192
915	2071	189
916	2073	187
917	2075	185
918	2076	183
919	2078	180
920	2080	178
921	2082	176
922	2084	173
923	2086	171
924	2088	169
925	2091	167
926	2092	164
927	2095	162
928	2096	160
929	2098	157
930	2100	155
931	2103	153
932	2106	151
933	2108	149
934	2110	146
935	2112	144
936	2114	142
937	2115	139
938	2118	137
939	2120	135
940	2122	133
941	2123	130
942	2125	128
943	2127	126
944	2129	123
945	2131	121
946	2133	119
947	2134	117
948	2136	114
949	2138	112
950	2140	110
951	2142	108
952	2144	105
953	2145	103
954	2147	101
955	2149	98
956	2151	96
957	2153	94
958	2155	92
959	2157	89
960	2159	87
961	2161	85
962	2163	83
963	2166	80
964	2168	78
965	2170	76
966	2172	74
967	2175	71
968	2178	69
969	2180	67
970	2182	65
971	2185	62
972	2188	60
973	2190	58
974	2192	56
975	2195	53
976	2197	51
977	2200	49
978	2202	47
979	2205	45
980	2207	42
981	2209	40
982	2212	38
983	2214	36
984	2216	33
985	2219	31
986	2221	29
987	2224	27
988	2226	24
989	2228	22
990	2230	20
991	2234	18
992	2237	15
993	2239	13
994	2241	11
995	2246	9
996	2248	6
997	2250	4
998	2253	2
999	2255	0
